degree,ratio
3,0.600000000000000311
4,1.406976744186045902
5,1.411111111111110539
6,1.196581196581196993
7,0.965277777777777457
8,2.066225165562912913
9,1.910714285714285587
10,1.638613861386138959
11,1.514644351464435656
12,1.386759581881533254
13,1.232198142414860698
14,1.075987841945288848
15,0.974647887323943696
16,3.093434343434342537
17,2.460850111856822231
18,2.218468468468469013
19,2.018108651911469043
20,1.852941176470588536
21,1.707052441229656825
22,1.568965517241379892
23,1.455370650529500542
24,1.268156424581005748
25,1.269058295964125449
26,1.211428571428571521
27,1.166219839142090819
28,1.106557377049180557
29,1.067357512953368115
30,1.028241335044929095
31,0.994936708860759467
32,2.453597497393118498
33,2.188099808061420681
34,2.202590194264569590
35,2.090745732255166356
36,1.916172734970364333
37,1.791803278688524292
38,1.706814580031696060
39,1.523021582733812940
40,1.371316306483300496
41,1.293485135989879797
42,1.330091185410334331
43,1.226127709431751756
44,1.163854109961893979
45,1.110164981373070958
46,1.074489795918367019
47,1.031660983925962061
48,1.002307337332718040
49,0.957551385165326119
50,0.967600700525394264
51,0.930590191188694904
52,0.893498205025927250
53,0.866616710378418698
54,0.818378378378378235
55,0.787504291108822585
56,0.745484400656814317
57,0.721397649969078292
58,0.711762945225980381
59,0.685706084959816220
60,0.663287671232876908
61,0.635135135135134976
62,0.921111945905334406
63,0.994944631680308333
64,1.431528662420381792
65,1.372509960159362885
66,1.412407991587802281
67,1.350224765018390061
68,1.313967136150234971
69,1.263137996219281911
70,1.211569947243951173
71,1.172485669619593773
72,1.142253044654939043
73,1.086021505376343566
74,1.074369813684045605
75,1.035355805243445948
76,1.007691191409084475
77,0.973917947271958018
78,0.952400325467860243
79,0.917944684755538143
80,0.898406628425748588
81,0.872976949485041454
82,0.867821547223540324
83,0.843555453078164708
84,0.820504313205043134
85,0.806378622993211946
86,0.780452071996651453
87,0.764533117277698904
88,0.736286300968025942
89,0.709815078236130770
90,0.713778409090908950
91,0.692058929213079543
92,0.675123816143887501
93,0.658774959979779307
94,0.640044724862231518
95,0.616223798020727909
96,0.623171670515781484
97,0.606131189420692773
98,0.615772547873117970
99,0.599516289657134549
100,0.582913184612196877
101,0.561078972151217603
102,0.554025701547338101
103,0.540133885878227638
104,0.537530417420602591
105,0.517758818902402163
106,0.511502029769959621
107,0.502895476176824618
108,0.491048450262951741
109,0.478038425951124057
110,0.468919638105375236
111,0.466312056737588521
112,0.447868256213376337
113,0.435632297644963362
114,0.440856560163154443
115,0.430359343889257617
116,0.420940861456073179
117,0.409960159362549759
118,0.408002750676924320
119,0.394442122858336797
120,0.384728033472803432
121,0.400760024460557363
122,0.538600247943198496
123,1.051869991095280454
124,1.039446214701681415
125,1.009980682549903364
126,1.001161930917925380
127,0.991089212705734579
128,2.395186408683340762
129,2.326301243666512253
130,2.363223403288816193
131,2.334101382488478649
132,2.304097143356337973
133,2.278309271177596074
134,2.240867962466488450
135,2.245329602501852317
136,2.250783699059561549
137,2.225978114225752869
138,2.211880902602552101
139,2.196970779452739553
140,2.207149536071351115
141,2.202041107622037863
142,2.176553275231936979
143,2.161663143058491610
144,2.045157816811359996
145,2.012996437524739335
146,1.994706920211723356
147,1.983362129647404881
148,1.977937468482097616
149,1.958524488530688057
150,1.943477991704327446
151,1.936657354548766641
152,1.936847103513769985
153,1.925188215069062014
154,1.910213832080638996
155,1.897456647398843677
156,1.855039064695632289
157,1.840069804098176220
158,1.816836058329651227
159,1.799614325068870757
160,1.754029541331951547
161,1.742902288597787841
162,1.735347069413883281
163,1.726466779559716835
164,1.716008771929825150
165,1.706325746378953623
166,1.696383433793505757
167,1.686555560954278610
168,1.704425204425204621
169,1.685356482140315970
170,1.658872592662012480
171,1.651875868457619800
172,1.620699059133675624
173,1.599567976238693845
174,1.576113450033236996
175,1.557866736438164645
176,1.552276486462957905
177,1.530905218317359040
178,1.560337159557795950
179,1.545944365550079969
180,1.532362794160222030
181,1.535631709331131356
182,1.517459275368265637
183,1.520547385620914849
184,1.499102763488455503
185,1.484513624841572454
186,1.481983742379240132
187,1.474474124188342783
188,1.456510924884246050
189,1.450259383582545469
190,1.441174262332006961
191,1.444306698223073671
192,1.417917018232510706
193,1.403763558273276812
194,1.393743758025395740
195,1.391589779985805464
196,1.379873903701877014
197,1.365198636332011661
198,1.355769560300216003
199,1.341527446300716298
200,1.334928392045068968
201,1.313041442285179494
202,1.325698138297872086
203,1.323950176760167574
204,1.296505183543065876
205,1.292154681672446515
206,1.283704952035260582
207,1.276291646547561554
208,1.265973630831643382
209,1.254205313629932705
210,1.269503103652640741
211,1.261639425458147334
212,1.263900875354456943
213,1.252652762532015851
214,1.249556190762750374
215,1.239558871614993896
216,1.213980945701093495
217,1.215938979484481708
218,1.217071694197007670
219,1.206633234556644396
220,1.180303030303030631
221,1.176842930764060213
222,1.166457011594836946
223,1.156057046063056593
224,1.155610199390602721
225,1.149043704945069688
226,1.162672305764411274
227,1.149451233751070500
228,1.156836322172696052
229,1.145572734571258078
230,1.132891730211302184
231,1.122885673527613370
232,1.142288150739142472
233,1.107986868155276250
234,1.125956311656935549
235,1.111045086533462012
236,1.096208345548714602
237,1.113924050632911333
238,1.081848058147623526
239,1.090248813461815347
240,1.110508033000433992
241,1.096798926586160405
242,1.080712888295080054
243,1.070105348267579748
244,1.059319225488803751
245,1.053629469122426832
246,1.049138092561364033
247,1.044495177747752024
248,1.036737135101562179
249,1.022311082837279006
250,1.027875738448752463
251,1.026338893766461924
252,1.019634875808854702
253,1.013708353666652462
254,1.005028641392277766
255,0.995515500769080908
